Date,Close/Last,Volume,Open,High,Low
2024-09-27,4248.1,162713,4269.01,4270.99,4231.06
2024-09-26,4268.94,214007,4210.29,4272.88,4196.89
2024-09-25,4175.7,196707,4177.56,4181.11,4148.83
2024-09-24,4177.56,216040,4128.0,4182.7899,4084.9
2024-09-23,4097.08,253726,4064.01,4104.865,4030.69
2024-09-20,4064.01,443926,4009.67,4067.46,3985.57
2024-09-19,4017.51,298654,4103.76,4104.99,3997.84
2024-09-18,4028.3,136051,4050.0,4073.84,4018.51
2024-09-17,4042.43,174046,4000.0,4047.49,3985.0
2024-09-16,3979.0,180490,3950.0,3999.5099,3930.0
2024-09-13,3932.59,159697,3896.0,3938.65,3894.51
2024-09-12,3870.7,186183,3834.37,3895.49,3813.88
2024-09-11,3827.47,245441,3836.0,3836.0,3719.34
2024-09-10,3834.82,174905,3818.36,3837.43,3777.84
2024-09-09,3802.89,241120,3749.52,3809.02,3718.58
2024-09-06,3731.35,283139,3777.14,3794.34,3700.97
2024-09-05,3781.88,212307,3754.29,3789.905,3732.285
2024-09-04,3799.21,219636,3776.16,3808.58,3769.485
2024-09-03,3813.78,276794,3876.01,3905.43,3798.21
2024-08-30,3909.23,239635,3930.1,3940.25,3885.7
2024-08-29,3890.81,224056,3915.0,3929.766,3882.28
2024-08-28,3898.24,232243,3878.0,3911.57,3860.33
2024-08-27,3881.45,236426,3798.52,3901.575,3798.52
2024-08-26,3797.89,219260,3842.0,3858.32,3784.75
2024-08-23,3830.58,223343,3779.28,3853.225,3759.43
2024-08-22,3768.09,173939,3752.42,3791.17,3752.42
2024-08-21,3738.0,261612,3702.5,3745.035,3683.14
2024-08-20,3702.5,176127,3692.15,3719.51,3665.5375
2024-08-19,3702.01,198228,3616.52,3705.79,3610.44
2024-08-16,3618.86,196411,3634.67,3636.55,3592.28
2024-08-15,3634.67,201779,3620.0,3653.955,3607.24
2024-08-14,3572.58,190043,3572.0,3610.27,3557.6383
2024-08-13,3567.76,263282,3484.96,3572.25,3472.495
2024-08-12,3439.18,212829,3442.41,3471.47,3399.27
2024-08-09,3443.05,251858,3394.85,3456.0,3394.85
2024-08-08,3394.85,377345,3316.07,3409.58,3307.8953
2024-08-07,3305.62,419914,3402.65,3472.34,3291.8
2024-08-06,3417.08,429256,3415.0,3490.78,3386.49
2024-08-05,3383.43,665353,3205.0,3387.352,3180.0
2024-08-02,3328.13,801623,3311.59,3465.56,3291.05
2024-08-01,3664.18,551914,3716.23,3748.4099,3631.43
2024-07-31,3715.01,393184,3776.0,3776.0,3700.12
2024-07-30,3720.99,219838,3752.11,3791.44,3683.75
2024-07-29,3755.13,224697,3735.1,3799.63,3715.28
2024-07-26,3700.99,233994,3698.54,3714.235,3659.15
2024-07-25,3659.88,482536,3786.0,3786.0,3643.045
2024-07-24,3805.78,322139,3880.0,3891.0699,3800.0
2024-07-23,3919.2,208683,3907.0,3945.39,3901.63
2024-07-22,3909.4,254662,3976.0,3984.64,3905.0
2024-07-19,3967.25,160086,3938.09,3976.98,3930.56
2024-07-18,3930.56,189770,4002.14,4022.74,3905.15
2024-07-17,3989.64,226819,4102.08,4108.71,3989.31
2024-07-16,4119.09,144394,4117.0,4144.32,4110.64
2024-07-15,4088.0,145512,4034.62,4100.0,4013.26
2024-07-12,4026.43,197592,3950.0,4051.685,3950.0
2024-07-11,3936.41,229418,3998.99,3998.99,3926.13
2024-07-10,3990.05,159095,3980.12,3990.89,3950.0
2024-07-09,3977.48,150985,4004.83,4020.235,3973.9
2024-07-08,3984.63,159576,3932.81,4002.8,3914.04
2024-07-05,3930.15,201774,3936.98,3939.7599,3905.0
2024-07-03,3916.89,79413,3912.51,3936.97,3901.945
2024-07-02,3916.21,196246,3876.81,3922.38,3876.81
2024-07-01,3884.88,231238,3977.35,3977.35,3869.76
2024-06-28,3961.5,321265,3994.0,4031.67,3951.0
2024-06-27,4009.4,168456,4040.0,4040.0,4000.0
2024-06-26,3982.38,175071,3988.18,4008.19,3971.14
2024-06-25,4014.38,150104,4016.87,4033.0,3986.0
2024-06-24,3981.2,161977,3989.11,4018.09,3960.0
2024-06-21,3989.1,498275,3982.59,3992.68,3940.75
2024-06-20,3972.08,212064,3995.0,4004.4025,3961.275
2024-06-18,3973.18,179880,3957.71,3989.12,3937.44
2024-06-17,3953.07,180148,3878.75,3957.98,3854.51
2024-06-14,3859.1,143721,3837.01,3863.11,3814.095
2024-06-13,3856.14,153760,3850.0,3866.17,3820.465
2024-06-12,3876.41,256520,3807.0,3911.69,3807.0
2024-06-11,3788.7,219282,3772.98,3819.8899,3762.72
2024-06-10,3788.72,226783,3805.55,3805.55,3746.68
2024-06-07,3813.09,161377,3787.28,3820.24,3770.0
2024-06-06,3810.06,146448,3831.04,3854.89,3800.0
2024-06-05,3831.04,142583,3809.06,3838.0,3753.915
2024-06-04,3801.36,162694,3772.5,3823.76,3768.91
2024-06-03,3763.64,229912,3776.35,3784.43,3713.89
2024-05-31,3776.35,353098,3747.0,3783.52,3711.85
2024-05-30,3754.62,210167,3745.59,3766.95,3704.57
2024-05-29,3734.29,255611,3751.0,3776.06,3726.72
2024-05-28,3790.12,170668,3796.55,3815.0,3764.7
2024-05-24,3795.35,151814,3760.0,3807.06,3754.92
2024-05-23,3752.68,218731,3850.0,3850.0,3731.785
2024-05-22,3825.1,203372,3830.0,3853.0,3798.215
2024-05-21,3822.34,224153,3772.21,3827.82,3749.11
2024-05-20,3768.62,219936,3703.98,3773.34,3694.26
2024-05-17,3708.35,198416,3758.24,3758.24,3690.51
2024-05-16,3735.01,198351,3792.53,3797.02,3735.01
2024-05-15,3792.53,192495,3783.27,3796.8722,3749.1987
2024-05-14,3772.85,210776,3729.57,3778.67,3729.0
2024-05-13,3745.0,238428,3800.75,3807.8,3717.48
2024-05-10,3805.75,282987,3783.45,3811.57,3775.42
2024-05-09,3780.03,437135,3640.0,3800.92,3640.0
2024-05-08,3660.0,273358,3603.8,3663.6,3573.0001
2024-05-07,3605.41,266371,3580.75,3623.06,3550.01
2024-05-06,3598.41,349992,3618.72,3618.72,3520.93
2024-05-03,3577.38,534715,3700.0,3748.21,3566.91
2024-05-02,3472.91,454174,3440.0,3487.9099,3393.95
2024-05-01,3415.64,226212,3437.25,3485.11,3405.23
2024-04-30,3452.03,232261,3512.79,3516.1375,3444.23
2024-04-29,3514.8,146490,3521.08,3532.07,3487.24
2024-04-26,3521.08,146026,3484.23,3541.87,3484.23
2024-04-25,3502.48,142949,3522.72,3525.0,3466.27
2024-04-24,3517.52,155900,3505.25,3571.11,3505.25
2024-04-23,3533.99,152220,3468.22,3546.9,3468.22
2024-04-22,3463.0,202419,3441.12,3492.52,3424.515
2024-04-19,3414.82,218821,3460.51,3478.185,3405.1565
2024-04-18,3430.14,156720,3470.0,3485.16,3424.14
2024-04-17,3443.91,170865,3472.98,3493.4079,3430.57
2024-04-16,3467.77,223317,3470.53,3497.47,3450.785
2024-04-15,3485.63,207636,3583.07,3625.225,3480.98
2024-04-12,3531.8,240962,3579.37,3598.575,3501.5
2024-04-11,3637.87,174495,3576.92,3656.81,3568.05
2024-04-10,3586.13,180985,3572.57,3617.34,3546.93
2024-04-09,3581.48,158055,3610.0,3614.22,3530.84
2024-04-08,3601.17,165659,3589.88,3634.25,3589.15
2024-04-05,3601.9,258504,3530.0,3610.48,3530.0
2024-04-04,3521.93,322745,3658.0,3671.48,3518.3
2024-04-03,3632.38,255038,3599.0,3646.11,3595.42
2024-04-02,3566.09,257167,3518.6,3585.07,3518.6
2024-04-01,3568.87,227670,3651.03,3654.85,3548.0
