Date,Close/Last,Volume,Open,High,Low
09/27/2024,$4248.10,162713,$4269.01,$4270.99,$4231.06
09/26/2024,$4268.94,214007,$4210.29,$4272.88,$4196.89
09/25/2024,$4175.70,196707,$4177.56,$4181.11,$4148.83
09/24/2024,$4177.56,216040,$4128.00,$4182.7899,$4084.90
09/23/2024,$4097.08,253726,$4064.01,$4104.865,$4030.69
09/20/2024,$4064.01,443926,$4009.67,$4067.46,$3985.57
09/19/2024,$4017.51,298654,$4103.76,$4104.99,$3997.84
09/18/2024,$4028.30,136051,$4050.00,$4073.84,$4018.51
09/17/2024,$4042.43,174046,$4000.00,$4047.49,$3985.00
09/16/2024,$3979.00,180490,$3950.00,$3999.5099,$3930.00
09/13/2024,$3932.59,159697,$3896.00,$3938.65,$3894.51
09/12/2024,$3870.70,186183,$3834.37,$3895.49,$3813.88
09/11/2024,$3827.47,245441,$3836.00,$3836.00,$3719.34
09/10/2024,$3834.82,174905,$3818.36,$3837.43,$3777.84
09/09/2024,$3802.89,241120,$3749.52,$3809.02,$3718.58
09/06/2024,$3731.35,283139,$3777.14,$3794.34,$3700.97
09/05/2024,$3781.88,212307,$3754.29,$3789.905,$3732.285
09/04/2024,$3799.21,219636,$3776.16,$3808.58,$3769.485
09/03/2024,$3813.78,276794,$3876.01,$3905.43,$3798.21
08/30/2024,$3909.23,239635,$3930.10,$3940.25,$3885.70
08/29/2024,$3890.81,224056,$3915.00,$3929.766,$3882.28
08/28/2024,$3898.24,232243,$3878.00,$3911.57,$3860.33
08/27/2024,$3881.45,236426,$3798.52,$3901.575,$3798.52
08/26/2024,$3797.89,219260,$3842.00,$3858.32,$3784.75
08/23/2024,$3830.58,223343,$3779.28,$3853.225,$3759.43
08/22/2024,$3768.09,173939,$3752.42,$3791.17,$3752.42
08/21/2024,$3738.00,261612,$3702.50,$3745.035,$3683.14
08/20/2024,$3702.50,176127,$3692.15,$3719.51,$3665.5375
08/19/2024,$3702.01,198228,$3616.52,$3705.79,$3610.44
08/16/2024,$3618.86,196411,$3634.67,$3636.55,$3592.28
08/15/2024,$3634.67,201779,$3620.00,$3653.955,$3607.24
08/14/2024,$3572.58,190043,$3572.00,$3610.27,$3557.6383
08/13/2024,$3567.76,263282,$3484.96,$3572.25,$3472.495
08/12/2024,$3439.18,212829,$3442.41,$3471.47,$3399.27
08/09/2024,$3443.05,251858,$3394.85,$3456.00,$3394.85
08/08/2024,$3394.85,377345,$3316.07,$3409.58,$3307.8953
08/07/2024,$3305.62,419914,$3402.65,$3472.34,$3291.80
08/06/2024,$3417.08,429256,$3415.00,$3490.78,$3386.49
08/05/2024,$3383.43,665353,$3205.00,$3387.352,$3180.00
08/02/2024,$3328.13,801623,$3311.59,$3465.56,$3291.05
08/01/2024,$3664.18,551914,$3716.23,$3748.4099,$3631.43
07/31/2024,$3715.01,393184,$3776.00,$3776.00,$3700.12
07/30/2024,$3720.99,219838,$3752.11,$3791.44,$3683.75
07/29/2024,$3755.13,224697,$3735.10,$3799.63,$3715.28
07/26/2024,$3700.99,233994,$3698.54,$3714.235,$3659.15
07/25/2024,$3659.88,482536,$3786.00,$3786.00,$3643.045
07/24/2024,$3805.78,322139,$3880.00,$3891.0699,$3800.00
07/23/2024,$3919.20,208683,$3907.00,$3945.39,$3901.63
07/22/2024,$3909.40,254662,$3976.00,$3984.64,$3905.00
07/19/2024,$3967.25,160086,$3938.09,$3976.98,$3930.56
07/18/2024,$3930.56,189770,$4002.14,$4022.74,$3905.15
07/17/2024,$3989.64,226819,$4102.08,$4108.71,$3989.31
07/16/2024,$4119.09,144394,$4117.00,$4144.32,$4110.64
07/15/2024,$4088.00,145512,$4034.62,$4100.00,$4013.26
07/12/2024,$4026.43,197592,$3950.00,$4051.685,$3950.00
07/11/2024,$3936.41,229418,$3998.99,$3998.99,$3926.13
07/10/2024,$3990.05,159095,$3980.12,$3990.89,$3950.00
07/09/2024,$3977.48,150985,$4004.83,$4020.235,$3973.90
07/08/2024,$3984.63,159576,$3932.81,$4002.80,$3914.04
07/05/2024,$3930.15,201774,$3936.98,$3939.7599,$3905.00
07/03/2024,$3916.89,79413,$3912.51,$3936.97,$3901.945
07/02/2024,$3916.21,196246,$3876.81,$3922.38,$3876.81
07/01/2024,$3884.88,231238,$3977.35,$3977.35,$3869.76
06/28/2024,$3961.50,321265,$3994.00,$4031.67,$3951.00
06/27/2024,$4009.40,168456,$4040.00,$4040.00,$4000.00
06/26/2024,$3982.38,175071,$3988.18,$4008.19,$3971.14
06/25/2024,$4014.38,150104,$4016.87,$4033.00,$3986.00
06/24/2024,$3981.20,161977,$3989.11,$4018.09,$3960.00
06/21/2024,$3989.10,498275,$3982.59,$3992.68,$3940.75
06/20/2024,$3972.08,212064,$3995.00,$4004.4025,$3961.275
06/18/2024,$3973.18,179880,$3957.71,$3989.12,$3937.44
06/17/2024,$3953.07,180148,$3878.75,$3957.98,$3854.51
06/14/2024,$3859.10,143721,$3837.01,$3863.11,$3814.095
06/13/2024,$3856.14,153760,$3850.00,$3866.17,$3820.465
06/12/2024,$3876.41,256520,$3807.00,$3911.69,$3807.00
06/11/2024,$3788.70,219282,$3772.98,$3819.8899,$3762.72
06/10/2024,$3788.72,226783,$3805.55,$3805.55,$3746.68
06/07/2024,$3813.09,161377,$3787.28,$3820.24,$3770.00
06/06/2024,$3810.06,146448,$3831.04,$3854.89,$3800.00
06/05/2024,$3831.04,142583,$3809.06,$3838.00,$3753.915
06/04/2024,$3801.36,162694,$3772.50,$3823.76,$3768.91
06/03/2024,$3763.64,229912,$3776.35,$3784.43,$3713.89
05/31/2024,$3776.35,353098,$3747.00,$3783.52,$3711.85
05/30/2024,$3754.62,210167,$3745.59,$3766.95,$3704.57
05/29/2024,$3734.29,255611,$3751.00,$3776.06,$3726.72
