HistoricalData_1727697648333
Date;Close/Last;Volume;Open;High;Low
09/27/2024;$128.25;2525697;$130.16;$130.31;$128.17
09/26/2024;$129.25;3825948;$132.706;$133.34;$129.146
09/25/2024;$130.71;2310696;$131.31;$131.90;$130.30
09/24/2024;$131.48;4189105;$130.58;$131.67;$129.59
09/23/2024;$129.03;3682591;$131.50;$131.64;$128.90
09/20/2024;$131.18;12476320;$129.83;$131.95;$129.03
09/19/2024;$128.75;7691622;$127.93;$131.35;$127.44
09/18/2024;$122.42;3861293;$122.32;$125.66;$122.00
09/17/2024;$122.12;6323569;$119.87;$124.74;$119.485
09/16/2024;$117.55;3229853;$117.99;$118.30;$116.16
09/13/2024;$117.75;3514203;$117.75;$119.21;$117.15
09/12/2024;$117.36;3076184;$116.33;$117.38;$115.05
09/11/2024;$115.96;3644976;$115.09;$116.17;$112.55
09/10/2024;$115.12;4080373;$117.01;$117.4063;$112.86
09/09/2024;$116.36;4178558;$115.11;$117.92;$114.985
09/06/2024;$114.28;4072379;$116.37;$117.26;$113.24
09/05/2024;$116.16;3593436;$114.64;$116.45;$114.60
09/04/2024;$115.21;3281564;$114.27;$115.99;$114.19
09/03/2024;$114.98;4678840;$116.395;$117.835;$114.13
08/30/2024;$117.31;3279531;$116.94;$118.05;$116.29
08/29/2024;$116.60;3330982;$118.17;$119.38;$116.42
08/28/2024;$117.53;3463705;$116.00;$117.73;$115.76
08/27/2024;$116.74;3457429;$115.30;$117.42;$115.17
08/26/2024;$115.71;4948158;$116.85;$117.39;$115.35
08/23/2024;$116.85;4998414;$116.64;$118.70;$116.37
08/22/2024;$115.45;4875497;$117.68;$118.395;$115.30
08/21/2024;$117.68;5028525;$118.04;$118.27;$116.70
08/20/2024;$117.38;3940048;$118.94;$119.28;$117.175
08/19/2024;$119.14;4184729;$116.93;$119.30;$116.44
08/16/2024;$116.31;4592024;$117.90;$118.80;$116.22
08/15/2024;$118.88;5266295;$118.195;$119.133;$116.37
08/14/2024;$116.24;3504796;$117.72;$118.74;$116.18
08/13/2024;$116.90;4662047;$114.39;$117.77;$114.05
08/12/2024;$113.62;3980998;$115.48;$115.50;$113.27
08/09/2024;$115.08;4764351;$114.465;$116.26;$112.60
08/08/2024;$114.64;8006214;$113.98;$116.43;$112.42
08/07/2024;$113.01;29027860;$112.44;$115.55;$110.38
08/06/2024;$130.47;11148440;$126.905;$131.45;$126.30
08/05/2024;$125.31;7521889;$123.77;$125.95;$122.06
08/02/2024;$128.23;7745494;$129.31;$129.60;$126.50
08/01/2024;$135.09;5166851;$139.70;$139.78;$132.90
07/31/2024;$139.56;3331392;$140.79;$141.2199;$139.10
07/30/2024;$138.99;2996153;$140.65;$140.99;$137.90
07/29/2024;$140.29;2723157;$141.24;$142.4299;$140.00
07/26/2024;$140.10;5101418;$141.90;$141.91;$139.03
07/25/2024;$140.03;5626549;$141.25;$141.945;$137.58
07/24/2024;$144.23;5461901;$146.73;$147.11;$142.98
07/23/2024;$148.75;2676905;$150.56;$151.25;$147.83
07/22/2024;$150.18;3672064;$148.14;$150.37;$146.55
07/19/2024;$147.99;3131618;$147.03;$149.16;$147.03
07/18/2024;$146.88;3593705;$148.17;$150.145;$146.75
07/17/2024;$148.00;3242315;$149.24;$150.10;$147.26
07/16/2024;$151.26;4079268;$148.47;$151.64;$147.88
07/15/2024;$147.22;3546065;$145.88;$148.47;$144.75
07/12/2024;$146.78;2923457;$146.83;$148.00;$146.19
07/11/2024;$146.00;6289510;$150.55;$152.00;$144.13
07/10/2024;$151.84;3263527;$153.11;$153.20;$150.09
07/09/2024;$152.45;4329182;$152.92;$155.66;$151.965
07/08/2024;$151.96;3228334;$152.65;$154.20;$150.755
07/05/2024;$152.50;3836132;$152.40;$152.88;$151.44
07/03/2024;$152.73;1725631;$153.91;$154.43;$152.30
07/02/2024;$154.34;3526073;$151.29;$155.21;$151.29
07/01/2024;$151.63;2904962;$152.20;$152.20;$149.14
06/28/2024;$151.63;3842498;$151.54;$152.93;$150.68
06/27/2024;$151.61;3588639;$150.46;$151.88;$149.39
06/26/2024;$150.00;3797877;$149.73;$150.385;$149.37
06/25/2024;$150.91;5008296;$148.97;$151.275;$148.85
06/24/2024;$148.39;4530892;$149.15;$150.04;$146.71
06/21/2024;$149.57;7648402;$148.76;$150.00;$147.25
06/20/2024;$147.88;2874248;$147.77;$149.75;$147.60
06/18/2024;$147.29;3316730;$149.90;$150.549;$146.90
06/17/2024;$149.50;5158771;$147.00;$150.12;$146.775
06/14/2024;$145.97;2754612;$145.50;$146.05;$144.28
06/13/2024;$146.10;4450397;$148.99;$149.00;$143.73
06/12/2024;$149.32;3579847;$149.99;$150.29;$148.621
